index,Algal_Treatment,Proteobacteria;Gammaproteobacteria,Verrucomicrobiota;Chlamydiae,Cyanobacteria;Cyanobacteriia,Proteobacteria;Alphaproteobacteria,Bacteroidota;Bacteroidia,Campilobacterota;Campylobacteria,Firmicutes;Bacilli,Planctomycetota;Planctomycetes,Verrucomicrobiota;Verrucomicrobiae,Desulfobacterota;Desulfobulbia,Firmicutes;Clostridia,Desulfobacterota;Desulfobacteria,Desulfobacterota;Desulfovibrionia,Fusobacteriota;Fusobacteriia,Planctomycetota;OM190,Myxococcota;Myxococcia,Chloroflexi;Anaerolineae,Verrucomicrobiota;Lentisphaeria,Planctomycetota;Phycisphaerae,Bdellovibrionota;Bdellovibrionia,Nanoarchaeota;Nanoarchaeia,Verrucomicrobiota;Kiritimatiellae,Desulfobacterota;Desulfuromonadia,Myxococcota;Polyangia, Planctomycetota; vadinHA49, Actinobacteriota; Acidimicrobiia, Acidobacteriota; Holophagae, Acidobacteriota; Thermoanaerobaculia, Bdellovibrionota; Oligoflexia, Spirochaetota; Spirochaetia, Patescibacteria; Gracilibacteria, Bacteroidota; Rhodothermia, Spirochaetota; V2072-189E03, Planctomycetota; BD7-11, Cyanobacteria; Vampirivibrionia, SAR324_clade(Marine_group_B); SAR324_clade(Marine_group_B),Archaea; Crenarchaeota; Nitrososphaeria, Planctomycetota; Pla3_lineage, LCP-89; LCP-89, Planctomycetota;__, Cloacimonadota; Cloacimonadia, Planctomycetota; Pla4_lineage, WPS-2; WPS-2, NB1-j; NB1-j, Fibrobacterota; Fibrobacteria, Latescibacterota; Latescibacterota, Actinobacteriota; Actinobacteria, Planctomycetota; 028H05-P-BN-P5, Deferribacterota; Deferribacteres, Deinococcota; Deinococci, Calditrichota; Calditrichia, Chloroflexi; Chloroflexia, Proteobacteria;__, Sumerlaeota; Sumerlaeia, Bacteroidota; Ignavibacteria, Cyanobacteria; Sericytochromatia, Gemmatimonadota; BD2-11_terrestrial_group, Spirochaetota; Leptospirae, Bacteroidota; Kapabacteria, Patescibacteria; Parcubacteria, Chloroflexi; KD4-96, Acidobacteriota; Acidobacteriae,Archaea; Halobacterota; Halobacteria, Margulisbacteria; Margulisbacteria, Myxococcota;__, Myxococcota; bacteriap25, Acidobacteriota; Blastocatellia, Hydrogenedentes; Hydrogenedentia, Acidobacteriota; Aminicenantia, Desulfobacterota; uncultured, Fibrobacterota; Chitinivibrionia, Dadabacteria; Dadabacteriia, Proteobacteria; Magnetococcia, Desulfobacterota; Desulfarculia, Verrucomicrobiota; Omnitrophia, Gemmatimonadota; Gemmatimonadetes, Patescibacteria; ABY1,Archaea; Halobacterota; Methanomicrobia, Actinobacteriota; Thermoleophilia, Actinobacteriota; Coriobacteriia, Patescibacteria; Saccharimonadia, Latescibacterota; Latescibacteria, Firmicutes;__, Nitrospinota; P9X2b3D02, Armatimonadota; Fimbriimonadia, Armatimonadota; Chthonomonadetes, Modulibacteria; Moduliflexia,Archaea; Crenarchaeota; Bathyarchaeia, Planctomycetota; SGST604, Nitrospirota; Thermodesulfovibrionia, Firmicutes; uncultured, Zixibacteria; Zixibacteria, Gemmatimonadota; PAUC43f_marine_benthic_group, Nitrospirota; Nitrospiria, Desulfobacterota; Syntrophobacteria, Bacteroidota; Chlorobia, Dependentiae; Babeliae, Acidobacteriota; Subgroup_21
AP-E-1,Empty,1066,0,1611,700,745,15,68,81,78,13,67,11,6,27,27,2,10,12,26,17,4,5,5,13,16,18,3,7,2,0,3,12,0,14,11,5,1,2,0,12,0,4,7,2,0,5,17,4,2,0,8,0,3,0,1,1,3,3,0,2,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
AP-E-10,Empty,4545,152,20,15,20,0,32,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP-E-11,Empty,2831,1169,147,180,208,0,30,42,27,0,8,2,1,48,10,0,9,11,4,8,1,7,2,2,7,2,3,0,1,1,3,2,0,2,1,4,0,1,0,2,0,3,0,2,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
AP-E-12,Empty,4405,0,102,76,101,0,50,15,6,0,3,1,1,3,2,0,0,3,0,1,0,0,0,1,0,1,2,0,0,0,5,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP-E-2,Empty,2510,2127,27,37,41,2,16,8,3,1,2,0,7,0,1,0,1,1,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP-E-3,Empty,1848,2808,36,31,42,4,0,0,1,0,6,0,0,3,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP-E-4,Empty,667,4024,18,10,21,1,24,2,2,0,0,0,0,1,0,0,5,0,3,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP-E-5,Empty,2790,1790,93,36,51,0,1,0,7,0,2,0,0,2,0,0,0,1,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP-E-6,Empty,2878,1844,26,13,19,0,2,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP-E-7,Empty,2838,1612,69,135,86,0,4,1,1,0,9,1,0,4,14,0,3,0,1,3,0,0,0,1,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
