Coral,Treatment 1,Treatment 2,OTU,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,Trend
Acropora,Empty,Turf mimic,de9398da6b44d4d49d760b6eb44b74fd,6.074433672,43.58034528,2.794317412,15.59606117,7.74E-55,2.01E-52,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher empty
Acropora,Empty,Amansia,de9398da6b44d4d49d760b6eb44b74fd,6.074433672,14.2387578,2.794273651,5.095691968,3.47E-07,7.82E-06,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in Empty
Acropora,Macroalgae mimic,Turf mimic,de9398da6b44d4d49d760b6eb44b74fd,6.074433672,-43.6805458,2.787109467,-15.67234668,2.34E-55,7.90E-53,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in Macroalgae mimic
Acropora,Macroalgae mimic,Amansia,de9398da6b44d4d49d760b6eb44b74fd,6.074433672,14.33895832,2.787065705,5.144822488,2.68E-07,3.90E-06,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in Macroalgea mimic
Acropora,Turf mimic,Sargassum,de9398da6b44d4d49d760b6eb44b74fd,6.074433672,-43.63031096,2.79096418,-15.63270187,4.36E-55,1.13E-52,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in Sargassum
Acropora,Turf mimic,S nigricans,de9398da6b44d4d49d760b6eb44b74fd,6.074433672,50.08230884,2.7349853,18.31172871,6.67E-75,1.54E-72,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in S nigricans
Acropora,Turf mimic,S punctatus,de9398da6b44d4d49d760b6eb44b74fd,6.074433672,46.98421166,2.739922614,17.14800682,6.50E-66,7.51E-64,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in S punctatus
Acropora,Amansia,Sargassum,de9398da6b44d4d49d760b6eb44b74fd,6.074433672,14.28872348,2.790920418,5.119717275,3.06E-07,2.59E-05,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in Sargassum
Acropora,Amansia,S nigricans,de9398da6b44d4d49d760b6eb44b74fd,6.074433672,-20.74072135,2.734941528,-7.583606868,3.36E-14,1.71E-12,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in S nigricans
Acropora,Amansia,S punctatus,de9398da6b44d4d49d760b6eb44b74fd,6.074433672,17.64262418,2.739878843,6.43919866,1.20E-10,5.40E-09,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in S punctatus
Acropora,Empty,Turf mimic,11b04708476c1a87ef0d7ece3bd54577,6.052097565,-17.23656159,3.145628252,-5.479529114,4.26E-08,3.68E-06,d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter,Higher in Turf mimic
Acropora,Empty,Amansia,11b04708476c1a87ef0d7ece3bd54577,6.052097565,-18.89557949,3.117970792,-6.060216967,1.36E-09,3.67E-08,d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter,Higher in Amansia
Acropora,Empty,Sargassum,11b04708476c1a87ef0d7ece3bd54577,6.052097565,-22.65171235,3.09343491,-7.322511386,2.43E-13,7.09E-12,d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter,Higher in Sargassum
Acropora,Empty,S nigricans,11b04708476c1a87ef0d7ece3bd54577,6.052097565,-21.68082918,3.093883009,-7.007643506,2.42E-12,4.44E-11,d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter,Higher in S nigricans
Acropora,Empty,S punctatus,11b04708476c1a87ef0d7ece3bd54577,6.052097565,-21.50198155,3.093998723,-6.949576735,3.66E-12,1.24E-10,d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter,Higher in S punctatuss
Acropora,Macroalgae mimic,Turf mimic,11b04708476c1a87ef0d7ece3bd54577,6.052097565,18.24794482,3.145628252,5.801049381,6.59E-09,1.11E-06,d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter,Higher in Turf mimic
