Sample ID,Coral trt,Algal trt,Coral colony ID,Combined trt
AP.TM.11,Acropora,Turf mimic,Acropora-11,Acropora-Turf mimic
PR.SG.12,Porites,Sargassum,Porites-12,Porites-Sargassum
PR.SN.11,Porites,S nigricans,Porites-11,Porites-S nigricans
AP.E.4,Acropora,Empty,Acropora-4,Acropora-Empty
PR.AM.12,Porites,Amansia,Porites-12,Porites-Amansia
AP.SP.10,Acropora,S punctatus,Acropora-10,Acropora-S punctatus
AP.SP.1,Acropora,S punctatus,Acropora-1,Acropora-S punctatus
AP.E.11,Acropora,Empty,Acropora-11,Acropora-Empty
PR.AM.11,Porites,Amansia,Porites-11,Porites-Amansia
AP.SP.11,Acropora,S punctatus,Acropora-11,Acropora-S punctatus
AP.SP.12,Acropora,S punctatus,Acropora-12,Acropora-S punctatus
PR.TM.2,Porites,Turf mimic,Porites-2,Porites-Turf mimic
PR.AM.10,Porites,Amansia,Porites-10,Porites-Amansia
AP.SN.9,Acropora,S nigricans,Acropora-9,Acropora-S nigricans
PR.MM.4,Porites,Macroalgae mimic,Porites-4,Porites-Macroalgae mimic
AP.SN.10,Acropora,S nigricans,Acropora-10,Acropora-S nigricans
AP.MM.9,Acropora,Macroalgae mimic,Acropora-9,Acropora-Macroalgae mimic
AP.SN.3,Acropora,S nigricans,Acropora-3,Acropora-S nigricans
AP.E.9,Acropora,Empty,Acropora-9,Acropora-Empty
AP.TM.9,Acropora,Turf mimic,Acropora-9,Acropora-Turf mimic
PR.E.2,Porites,Empty,Porites-2,Porites-Empty
AP.SN.1,Acropora,S nigricans,Acropora-1,Acropora-S nigricans
PR.SG.11,Porites,Sargassum,Porites-11,Porites-Sargassum
AP.E.12,Acropora,Empty,Acropora-12,Acropora-Empty
PR.MM.12,Porites,Macroalgae mimic,Porites-12,Porites-Macroalgae mimic
AP.E.10,Acropora,Empty,Acropora-10,Acropora-Empty
PR.SP.3,Porites,S punctatus,Porites-3,Porites-S punctatus
AP.SN.12,Acropora,S nigricans,Acropora-12,Acropora-S nigricans
PR.E.9,Porites,Empty,Porites-9,Porites-Empty
PR.SP.9,Porites,S punctatus,Porites-9,Porites-S punctatus
AP.MM.4,Acropora,Macroalgae mimic,Acropora-4,Acropora-Macroalgae mimic
AP.SG.9,Acropora,Sargassum,Acropora-9,Acropora-Sargassum
PR.TM.9,Porites,Turf mimic,Porites-9,Porites-Turf mimic
PR.E.12,Porites,Empty,Porites-12,Porites-Empty
PR.MM.11,Porites,Macroalgae mimic,Porites-11,Porites-Macroalgae mimic
PR.SP.12,Porites,S punctatus,Porites-12,Porites-S punctatus
AP.TM.1,Acropora,Turf mimic,Acropora-1,Acropora-Turf mimic
PR.MM.10,Porites,Macroalgae mimic,Porites-10,Porites-Macroalgae mimic
AP.AM.9,Acropora,Amansia,Acropora-9,Acropora-Amansia
PR.TM.3,Porites,Turf mimic,Porites-3,Porites-Turf mimic
AP.E.1,Acropora,Empty,Acropora-1,Acropora-Empty
AP.MM.12,Acropora,Macroalgae mimic,Acropora-12,Acropora-Macroalgae mimic
