index,Algal_Treatment,Actinobacteriota; Acidimicrobiia,Planctomycetota; 028H05-P-BN-P5,CyanoCyanobacteriia,Chloroflexi; Anaerolineae,Bacteroidota; Bacteroidia,ProteoGammaproteobacteria,ProteoAlphaproteobacteria,Planctomycetota; Phycisphaerae,Sumerlaeota; Sumerlaeia,Planctomycetota; Planctomycetes,Latescibacterota; Latescibacterota,Verrucomicrobiota; Verrucomicrobiae,Planctomycetota; OM190,Planctomycetota; vadinHA49,Firmicutes; Bacilli,Hydrogenedentes; Hydrogenedentia,Myxococcota; Polyangia,Verrucomicrobiota; Kiritimatiellae,Desulfobacterota; Desulfobacteria,Bdellovibrionota; Bdellovibrionia,Acidobacteriota; Thermoanaerobaculia,Planctomycetota;__,Firmicutes; Clostridia,Bdellovibrionota; Oligoflexia,Myxococcota; Myxococcia,CyanoVampirivibrionia,Firmicutes;__,NB1-j; NB1-j,Campilobacterota; Campylobacteria,PatesciGracilibacteria,Chloroflexi; TK17,Fibrobacterota; Chitinivibrionia,Planctomycetota; Pla4_lineage,Acidobacteriota; Vicinamibacteria,WPS-2; WPS-2,Desulfobacterota; Desulfovibrionia,CyanoSericytochromatia,Desulfobacterota; Desulfobulbia,Verrucomicrobiota; Lentisphaeria,Archaea; Nanoarchaeota; Nanoarchaeia,SAR324_clade(Marine_group_B); SAR324_clade(Marine_group_B),Chloroflexi; KD4-96,Desulfobacterota; Desulfuromonadia,Cloacimonadota; Cloacimonadia,Acidobacteriota; Subgroup_22,Spirochaetota; Spirochaetia,Archaea; Halobacterota; Halobacteria,Verrucomicrobiota; Omnitrophia,Planctomycetota; Pla3_lineage,Planctomycetota; SGST604,Chloroflexi; Dehalococcoidia,Myxococcota;__,Firmicutes; Negativicutes,Verrucomicrobiota; Chlamydiae,Actinobacteriota; Actinobacteria,Nitrospirota; Nitrospiria,Elusimicrobiota; Lineage_IIb,Planctomycetota; BD7-11,Gemmatimonadota; PAUC43f_marine_benthic_group,PatesciParcubacteria,Acidobacteriota; Aminicenantia,Bacteroidota; Ignavibacteria,MargulisMargulisbacteria,Marinimicrobia_(SAR406_clade); Marinimicrobia_(SAR406_clade),Gemmatimonadota; BD2-11_terrestrial_group,Spirochaetota; MVP-15,PAUC34f; PAUC34f,Spirochaetota; Leptospirae,Acidobacteriota; Acidobacteriae,Archaea; Thermoplasmatota; Thermoplasmata,Bacteroidota; Rhodothermia,LCP-89; LCP-89,Calditrichota; Calditrichia,Acidobacteriota; Holophagae,Spirochaetota; V2072-189E03,Latescibacterota; Latescibacteria,Proteobacteria;__,Acidobacteriota; Blastocatellia,Desulfobacterota; Desulfarculia,Archaea; Crenarchaeota; Nitrososphaeria,Fusobacteriota; Fusobacteriia,Deinococcota; Deinococci,DadaDadabacteriia,Chloroflexi; TK10,Dependentiae; Babeliae,Actinobacteriota; Thermoleophilia,ModuliModuliflexia,Desulfobacterota;__,Bacteroidota; Kryptonia,Bacteroidota; Kapabacteria,Acidobacteriota; Subgroup_21,Fibrobacterota; Fibrobacteria,ProteoMagnetococcia,Actinobacteriota; Rubrobacteria,Fermentibacterota; Fermentibacteria,Sva0485; Sva0485,Acidobacteriota; Subgroup_26,Elusimicrobiota; Elusimicrobia,Nitrospirota; Thermodesulfovibrionia,MBNT15; MBNT15,PoriPoribacteria,Chloroflexi; Chloroflexia,Planctomycetota; Brocadiae,Deferribacterota; Deferribacteres,Myxococcota; bacteriap25,ZixiZixibacteria,Acidobacteriota; Subgroup_18,Archaea; Crenarchaeota; Bathyarchaeia,Archaea;__;__,Entotheonellaeota; Entotheonellia,PatesciABY1,Archaea; Asgardarchaeota; Odinarchaeia,Desulfobacterota; uncultured,FCPU426; FCPU426,PatesciSaccharimonadia,Archaea; Asgardarchaeota; Lokiarchaeia,Synergistota; Synergistia,Archaea; Halobacterota; Methanomicrobia,Verrucomicrobiota;__,Archaea; Euryarchaeota; Thermococci,Acetothermia; Acetothermiia,Halanaerobiaeota; Halanaerobiia,Desulfobacterota; Syntrophobacteria,PatesciWWE3,Armatimonadota; Fimbriimonadia,Gemmatimonadota; Gemmatimonadetes,Spirochaetota; Brevinematia
PR-AM-1,Amansia,35,1,765,71,681,1323,791,11,3,151,3,66,44,27,318,0,49,5,15,22,24,2,57,33,2,7,2,2,72,8,0,0,3,1,2,1,4,10,21,4,3,6,10,0,0,1,3,0,5,0,0,1,0,3,25,0,0,11,0,0,2,0,0,0,1,0,0,2,0,0,6,0,3,4,0,0,0,0,0,2,50,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR-AM-10,Amansia,9,0,900,6,1952,827,651,31,0,39,1,56,47,8,48,0,3,0,12,41,6,9,29,2,0,7,0,9,0,9,0,0,4,0,0,9,2,3,2,1,6,0,3,0,0,3,0,0,1,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
PR-AM-11,Amansia,0,0,33,0,859,1590,1420,0,0,1,0,20,1,0,8,0,0,1,0,0,1,0,122,1,0,0,0,0,374,1,0,0,0,0,0,69,0,0,10,1,0,0,1,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR-AM-12,Amansia,1,0,8,1,517,778,336,0,0,2,0,7,2,0,0,0,0,0,1157,98,0,0,192,8,0,0,0,0,639,65,0,9,0,0,0,483,0,0,310,50,43,0,0,6,0,8,0,0,1,0,0,39,0,1,0,0,0,1,0,0,0,6,0,7,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR-AM-2,Amansia,22,17,369,9,881,2123,978,40,0,54,0,61,29,7,0,0,32,3,5,23,19,8,14,22,0,0,0,0,12,1,0,0,3,0,3,0,0,2,6,1,1,2,13,0,0,0,1,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR-AM-3,Amansia,8,6,122,6,665,1958,1423,52,0,67,0,66,19,0,6,0,11,8,37,17,10,34,34,14,0,0,0,2,15,0,0,0,14,0,1,9,2,68,7,1,2,0,9,0,0,69,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,3,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR-AM-4,Amansia,4,0,365,0,455,2422,1148,8,0,20,0,74,51,1,3,0,6,0,13,32,6,1,38,40,0,0,0,2,28,0,0,0,0,0,2,0,2,2,30,2,0,0,13,0,0,1,0,0,2,0,0,3,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR-AM-5,Amansia,22,5,596,30,554,1285,1710,21,2,106,0,46,36,4,45,0,19,11,8,50,12,0,59,13,1,2,0,6,3,2,0,0,0,0,12,4,10,6,3,5,4,0,8,0,1,0,11,3,6,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,3,0,2,0,0,0,6,0,0,6,0,0,6,0,0,4,18,4,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
PR-AM-6,Amansia,42,0,750,23,1036,1446,670,60,2,219,0,112,9,2,141,0,7,6,8,9,11,10,31,4,0,5,0,0,31,4,0,0,3,0,1,4,0,2,15,2,2,0,2,0,0,0,0,0,2,0,0,0,0,29,6,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,12,0,0,0,0,0,0,8,45,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR-AM-7,Amansia,2,0,620,26,1334,1355,865,35,0,109,0,90,35,5,5,3,8,0,12,29,5,7,35,8,10,5,0,4,0,8,0,0,2,2,0,1,3,20,1,5,8,0,11,0,3,5,0,0,0,0,0,0,0,0,9,0,0,12,1,0,0,0,0,0,0,0,0,3,2,2,7,0,0,7,0,0,9,0,0,1,42,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
