Coral,Treatment 1,Treatment 2,OTU,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,Trend
Porites,Turf mimic,Sargassum,1905c4d622b81d9d7ab14d059d7f67be,100.0852821,2.8143496,0.947810789,2.969315852,0.002984636,0.034265922,d__Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,Francisellaceae,[Caedibacter]_taeniospiralis_group,Higher in turf mimic
Porites,Empty,Macroalgae mimic,998dc390f28e174035d9a895ac58e0c7,11.64493777,-18.76077903,5.440296097,-3.448484916,0.000563741,0.010048683,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher Macroalgae mimic
Porites,Empty,Amansia,998dc390f28e174035d9a895ac58e0c7,11.64493777,-24.47775762,5.429967005,-4.507901724,6.55E-06,2.40E-04,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in Amansia
Porites,Empty,S punctatus,998dc390f28e174035d9a895ac58e0c7,11.64493777,-19.9149865,5.434389059,-3.664622883,0.000247703,0.003819585,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in S punctatus
Porites,Macroalgae mimic,Turf mimic,998dc390f28e174035d9a895ac58e0c7,11.64493777,-18.84553286,5.440296097,-3.464063816,0.00053208,0.008359261,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in Macroalgae mimic
Porites,Macroalgae mimic,Amansia,2ca8ec42e731c456b9ec0e9bd2eab614,25.98959468,-5.953929505,1.698793669,-3.504798502,0.000456953,0.008014252,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in Amansia
Porites,Macroalgae mimic,Sargassum,998dc390f28e174035d9a895ac58e0c7,11.64493777,18.98040807,5.440296097,3.488855705,0.000485093,0.013381874,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in Macroalgae mimic
Porites,Macroalgae mimic,S nigricans,998dc390f28e174035d9a895ac58e0c7,11.64493777,19.11578672,5.440296097,3.51374013,0.000441845,0.005751735,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in Macroalgae mimic
Porites,Turf mimic,Amansia,998dc390f28e174035d9a895ac58e0c7,11.64493777,-24.56251145,5.429967005,-4.523510259,6.08E-06,0.000315136,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in Amansia
Porites,Turf mimic,S punctatus,998dc390f28e174035d9a895ac58e0c7,11.64493777,19.99974033,5.434389059,3.680218717,0.000233034,0.002914969,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in S punctatus
Porites,Amansia,Sargassum,998dc390f28e174035d9a895ac58e0c7,11.64493777,-24.69738666,5.429967005,-4.548349307,5.41E-06,0.000154303,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in Amansia
Porites,Amansia,Sargassum,2ca8ec42e731c456b9ec0e9bd2eab614,25.98959468,-5.337045148,1.692880071,-3.152642198,0.001618,0.024501142,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in Amansia
Porites,Amansia,S nigricans,2ca8ec42e731c456b9ec0e9bd2eab614,25.98959468,5.297414033,1.689844917,3.134852186,0.001719407,0.030841867,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in Amansia
Porites,Amansia,S nigricans,998dc390f28e174035d9a895ac58e0c7,11.64493777,24.83276531,5.429967005,4.573281069,4.80E-06,0.000176224,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in Amansia
Porites,Amansia,S punctatus,de9398da6b44d4d49d760b6eb44b74fd,8.293177516,7.641777615,2.389047299,3.198671546,0.001380624,0.026633486,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in S punctatus
Porites,Sargassum,S punctatus,998dc390f28e174035d9a895ac58e0c7,11.64493777,-20.13461555,5.434389059,-3.705037554,0.000211359,0.005333717,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in S punctatus
Porites,Sargassum,S punctatus,de9398da6b44d4d49d760b6eb44b74fd,8.293177516,-7.8729508,2.38907708,-3.29539422,0.000982837,0.020077955,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in S punctatus
Porites,S nigricans,S punctatus,998dc390f28e174035d9a895ac58e0c7,11.64493777,20.26999419,5.434389059,3.729949028,0.000191519,0.005674623,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Acaryochloridaceae,Acaryochloris_MBIC11017,Higher in S nigricans
Porites,Empty,S nigricans,03d159fdf49db0bc5bdb5224984df68d,9.966353269,21.53158708,2.485618973,8.662464886,4.62E-18,1.75E-16,d__Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Higher in Empty
Porites,Macroalgae mimic,S nigricans,03d159fdf49db0bc5bdb5224984df68d,9.966353269,22.1687951,2.482289477,8.930785594,4.23E-19,1.74E-17,d__Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Higher in Macroalgae mimic
Porites,Turf mimic,S nigricans,03d159fdf49db0bc5bdb5224984df68d,9.966353269,-22.79248864,2.48179473,-9.183873415,4.16E-20,2.03E-18,d__Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Higher in Turf mimic
Porites,Amansia,S nigricans,03d159fdf49db0bc5bdb5224984df68d,9.966353269,23.37796263,2.48108449,9.422477436,4.41E-21,1.69E-18,d__Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Higher in Amansia
Porites,Sargassum,S nigricans,03d159fdf49db0bc5bdb5224984df68d,9.966353269,18.61073279,2.514474829,7.401439287,1.35E-13,1.00E-11,d__Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Higher in Sargassum
Porites,S nigricans,S punctatus,03d159fdf49db0bc5bdb5224984df68d,9.966353269,19.43639067,2.496430294,7.785673295,6.93E-15,1.11E-12,d__Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Higher in S nigricans
Porites,Empty,Sargassum,520d9654acf15b5b910295cb2f702ad9,20.96699726,4.776898263,1.718153031,2.780251919,0.005431674,0.04902258,d__Bacteria,Cyanobacteria,Cyanobacteriia,Phormidesmiales,Phormidesmiaceae,Acrophormium_PCC-7375,Higher in Empty
Porites,Turf mimic,Sargassum,520d9654acf15b5b910295cb2f702ad9,20.96699726,5.544295632,1.717120588,3.228833007,0.001242965,0.015459371,d__Bacteria,Cyanobacteria,Cyanobacteriia,Phormidesmiales,Phormidesmiaceae,Acrophormium_PCC-7375,Higher in turf mimic
Porites,Empty,S punctatus,0e23dce64b889f6bbaf9a02f81e81f48,579.894829,-2.678628201,0.947807951,-2.826129702,0.004711418,0.043656744,d__Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Algicola,Higher in S punctatus
Porites,Empty,Amansia,ab461f4b23949e0afb5f87444e326bb5,178.5550956,-4.234203558,1.379944701,-3.068386403,0.002152181,0.038589112,d__Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Amphritea,Higher in Amansia
