Date,Table.coordinate,Sample.ID,Colony.no,Coral.treatment,Algal.treatment,Colony.ID,Reading,Yield,Colony ID control yield
03/28/2022,A3,AP-C-1,1,Acropora pulchra,Control,Acropora pulchra 1,487,0.487,0.487
03/28/2022,A2,AP-N-1,1,Acropora pulchra,S nigricans turf,Acropora pulchra 1,339,0.339,0.487
03/28/2022,A5,AP-P-1,1,Acropora pulchra,S punctatus turf,Acropora pulchra 1,417,0.417,0.487
03/28/2022,E9,AP-C-10,10,Acropora pulchra,Control,Acropora pulchra 10,588,0.588,0.588
03/28/2022,EX10,AP-N-10,10,Acropora pulchra,S nigricans turf,Acropora pulchra 10,486,0.486,0.588
03/28/2022,EX11,AP-P-10,10,Acropora pulchra,S punctatus turf,Acropora pulchra 10,462,0.462,0.588
03/28/2022,F3,AP-C-1,11,Acropora pulchra,Control,Acropora pulchra 11,542,0.542,0.542
03/28/2022,F6,AP-N-11,11,Acropora pulchra,S nigricans turf,Acropora pulchra 11,339,0.339,0.542
03/28/2022,F5,AP-P-11,11,Acropora pulchra,S punctatus turf,Acropora pulchra 11,505,0.505,0.542
03/28/2022,FX11,AP-C-12,12,Acropora pulchra,Control,Acropora pulchra 12,492,0.492,0.492
03/28/2022,FX10,AP-N-12,12,Acropora pulchra,S nigricans turf,Acropora pulchra 12,399,0.399,0.492
03/28/2022,FX12,AP-P-12,12,Acropora pulchra,S punctatus turf,Acropora pulchra 12,410,0.41,0.492
03/28/2022,A7,AP-C-2,2,Acropora pulchra,Control,Acropora pulchra 2,557,0.557,0.557
03/28/2022,AX12,AP-N-2,2,Acropora pulchra,S nigricans turf,Acropora pulchra 2,356,0.356,0.557
03/28/2022,AX11,AP-P-2,2,Acropora pulchra,S punctatus turf,Acropora pulchra 2,179,0.179,0.557
03/28/2022,B1,AP-C-3,3,Acropora pulchra,Control,Acropora pulchra 3,520,0.52,0.52
03/28/2022,B3,AP-N-3,3,Acropora pulchra,S nigricans turf,Acropora pulchra 3,304,0.304,0.52
03/28/2022,B2,AP-P-3,3,Acropora pulchra,S punctatus turf,Acropora pulchra 3,312,0.312,0.52
03/28/2022,BX11,AP-C-4,4,Acropora pulchra,Control,Acropora pulchra 4,507,0.507,0.507
03/28/2022,BX10,AP-N-4,4,Acropora pulchra,S nigricans turf,Acropora pulchra 4,390,0.39,0.507
03/28/2022,BX12,AP-P-4,4,Acropora pulchra,S punctatus turf,Acropora pulchra 4,384,0.384,0.507
03/28/2022,C5,AP-C-5,5,Acropora pulchra,Control,Acropora pulchra 5,584,0.584,0.584
03/28/2022,C1,AP-N-5,5,Acropora pulchra,S nigricans turf,Acropora pulchra 5,355,0.355,0.584
03/28/2022,C3,AP-P-5,5,Acropora pulchra,S punctatus turf,Acropora pulchra 5,357,0.357,0.584
03/28/2022,CX12,AP-C-6,6,Acropora pulchra,Control,Acropora pulchra 6,508,0.508,0.508
03/28/2022,CX10,AP-N-6,6,Acropora pulchra,S nigricans turf,Acropora pulchra 6,430,0.43,0.508
03/28/2022,CX11,AP-P-6,6,Acropora pulchra,S punctatus turf,Acropora pulchra 6,451,0.451,0.508
03/28/2022,D2,AP-C-7,7,Acropora pulchra,Control,Acropora pulchra 7,505,0.505,0.505
