Date,Table.coordinate,Sample.ID,Colony.no,Coral.treatment,Algal.treatment,Colony.ID,Reading,Yield,Colony ID control yield
09/11/2022,A5,AP-C-1,1,Acropora pulchra,Control,Acropora pulchra 1,458,0.458,0.458
09/11/2022,A3,AP-MN-1,1,Acropora pulchra,Summer S nigricans turf,Acropora pulchra 1,472,0.472,0.458
09/11/2022,A7,AP-MP-1,1,Acropora pulchra,Summer S punctatus turf,Acropora pulchra 1,498,0.498,0.458
09/11/2022,A8,AP-WN-1,1,Acropora pulchra,Winter S nigricans turf,Acropora pulchra 1,524,0.524,0.458
09/11/2022,AX10,AP-WP-1,1,Acropora pulchra,Winter S punctatus turf,Acropora pulchra 1,601,0.601,0.458
09/11/2022,A9,PR-C-1,1,Porites rus,Control,Porites rus 1,569,0.569,0.569
09/11/2022,A4,PR-MN-1,1,Porites rus,Summer S nigricans turf,Porites rus 1,594,0.594,0.569
09/11/2022,A1,PR-MP-1,1,Porites rus,Summer S punctatus turf,Porites rus 1,381,0.381,0.569
09/11/2022,A6,PR-WN-1,1,Porites rus,Winter S nigricans turf,Porites rus 1,420,0.42,0.569
09/11/2022,A2,PR-WP-1,1,Porites rus,Winter S punctatus turf,Porites rus 1,574,0.574,0.569
09/11/2022,B1,AP-C-2,2,Acropora pulchra,Control,Acropora pulchra 2,545,0.545,0.545
09/11/2022,B4,AP-MN-2,2,Acropora pulchra,Summer S nigricans turf,Acropora pulchra 2,386,0.386,0.545
09/11/2022,B2,AP-MP-2,2,Acropora pulchra,Summer S punctatus turf,Acropora pulchra 2,491,0.491,0.545
09/11/2022,AX11,AP-WN-2,2,Acropora pulchra,Winter S nigricans turf,Acropora pulchra 2,438,0.438,0.545
09/11/2022,B8,AP-WP-2,2,Acropora pulchra,Winter S punctatus turf,Acropora pulchra 2,618,0.618,0.545
09/11/2022,B6,PR-C-2,2,Porites rus,Control,Porites rus 2,520,0.52,0.52
09/11/2022,B5,PR-MN-2,2,Porites rus,Summer S nigricans turf,Porites rus 2,585,0.585,0.52
09/11/2022,B7,PR-MP-2,2,Porites rus,Summer S punctatus turf,Porites rus 2,529,0.529,0.52
09/11/2022,AX12,PR-WN-2,2,Porites rus,Winter S nigricans turf,Porites rus 2,589,0.589,0.52
09/11/2022,B3,PR-WP-2,2,Porites rus,Winter S punctatus turf,Porites rus 2,514,0.514,0.52
09/11/2022,C5,AP-C-3,3,Acropora pulchra,Control,Acropora pulchra 3,400,0.4,0.4
09/11/2022,B9,AP-MN-3,3,Acropora pulchra,Summer S nigricans turf,Acropora pulchra 3,314,0.314,0.4
09/11/2022,BX10,AP-MP-3,3,Acropora pulchra,Summer S punctatus turf,Acropora pulchra 3,449,0.449,0.4
09/11/2022,BX12,AP-WN-3,3,Acropora pulchra,Winter S nigricans turf,Acropora pulchra 3,500,0.5,0.4
09/11/2022,C1,AP-WP-3,3,Acropora pulchra,Winter S punctatus turf,Acropora pulchra 3,364,0.364,0.4
09/11/2022,C2,PR-C-3,3,Porites rus,Control,Porites rus 3,554,0.554,0.554
09/11/2022,C6,PR-MN-3,3,Porites rus,Summer S nigricans turf,Porites rus 3,311,0.311,0.554
09/11/2022,BX11,PR-MP-3,3,Porites rus,Summer S punctatus turf,Porites rus 3,578,0.578,0.554
09/11/2022,C3,PR-WN-3,3,Porites rus,Winter S nigricans turf,Porites rus 3,574,0.574,0.554
09/11/2022,C4,PR-WP-3,3,Porites rus,Winter S punctatus turf,Porites rus 3,551,0.551,0.554
09/11/2022,D1,AP-C-4,4,Acropora pulchra,Control,Acropora pulchra 4,517,0.517,0.517
09/11/2022,C8,AP-MN-4,4,Acropora pulchra,Summer S nigricans turf,Acropora pulchra 4,310,0.31,0.517
09/11/2022,D4,AP-MP-4,4,Acropora pulchra,Summer S punctatus turf,Acropora pulchra 4,592,0.592,0.517
09/11/2022,CX12,AP-WN-4,4,Acropora pulchra,Winter S nigricans turf,Acropora pulchra 4,409,0.409,0.517
09/11/2022,C9,AP-WP-4,4,Acropora pulchra,Winter S punctatus turf,Acropora pulchra 4,351,0.351,0.517
09/11/2022,D2,PR-C-4,4,Porites rus,Control,Porites rus 4,490,0.49,0.49
09/11/2022,CX11,PR-MN-4,4,Porites rus,Summer S nigricans turf,Porites rus 4,388,0.388,0.49
