Sample ID,Field no.,Damselfish trt,Month trt,Lyngbya sp.,Boodlea sp.,Chaetomorpha sp.,Cladophora sp.,Derbesia sp.,Ulva flexuosa,Sphacelaria novae-hollandineae,Sphacelaria rigidula,Hincksia mitchelliae,Anotrichium tenue,Antithamnion sp.,Caulacanthus ustularis,Centroceras minutum,Ceramium codii,Chondria sp.,Coelothrix irregularis,Gelidiopsis intricata,Gelidiopsis scoparia,Gelidiella machrisiana,Gelidium isabelae,Herposiphonia delicatula,Herposiphonia pacifica,Hypnea spinella,Neosiphonia apiculata,Neosiphonia sphaerocarpa,Polysiphonia herpa,Polysiphonia scorpulum,Unidentified Polysiphonia,Jania sp.,Unidentified cerameaceae 3
SN1-March,1,Stegastes nigricans,March,5,,,,,,5,,15,,,,,,,,15,,,,,,,,,,55,,,
SN1-March,2,Stegastes nigricans,March,40,,10,,,,5,,,,,,,,,,15,,,,,,,5,,,10,,,
SN1-March,3,Stegastes nigricans,March,10,,,,,,70,,,,,,,,,,,,,,,,,,,,20,,,
SN1-March,4,Stegastes nigricans,March,10,,,,,,,,,,,,,,,,30,,10,,,,,,,,10,,,
SN1-March,5,Stegastes nigricans,March,5,,,,,,,,,,,,,,,,,,45,,,,,,,,10,,,
SN2-March,1,Stegastes nigricans,March,,20,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2-March,2,Stegastes nigricans,March,10,,,,,,,,,,,,,,,,40,,,,30,,,,,,,,,
SN2-March,3,Stegastes nigricans,March,40,,20,,15,,,,,,,,,,,,,,,,5,,,,,,,,,
SN2-March,4,Stegastes nigricans,March,80,,,5,,,,,,,,,,,,,10,,,,5,,,,,,10,,,
SN2-March,5,Stegastes nigricans,March,10,,20,,,,40,,,,,,,,,,,,,,5,,,,,,10,,,
SN3-March,1,Stegastes nigricans,March,,,,,,,5,,,,,,,,,,10,,30,,,,,,,25,15,,,
SN3-March,2,Stegastes nigricans,March,,,,10,,,,,,,,,,,,,15,,10,,,,,,,,10,,,
SN3-March,3,Stegastes nigricans,March,5,,,10,,,5,,,,,,,,,,50,,20,,,,,,,,10,,,
SN3-March,4,Stegastes nigricans,March,,,,15,,,5,,,,,,,,,,45,,20,,,,,,,,5,,,
SN3-March,5,Stegastes nigricans,March,,,,5,,,20,,,,,,,,,,15,,10,,,,,,,10,40,,,
SN4-March,1,Stegastes nigricans,March,10,,,10,,,,,,,,,,,,,20,,,,15,,,,,10,25,,,
SN4-March,2,Stegastes nigricans,March,5,,,5,,,,,,,,,,,,,65,,,,,,,,,,,,,
SN4-March,3,Stegastes nigricans,March,5,,,10,,,,,,,,,,,,,85,,,,,,,,,,,,,
SN4-March,4,Stegastes nigricans,March,,,,,,,,,,,,,,,,,30,,,,,,,,,10,10,,,
SN4-March,5,Stegastes nigricans,March,5,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,
SN5-March,1,Stegastes nigricans,March,,,,5,,5,10,,,10,,,,,,,40,,,,,,,,,,30,,,
SN5-March,2,Stegastes nigricans,March,,,,100,,,,,,10,,,,,,,20,,,,,,,,,,20,,,
SN5-March,3,Stegastes nigricans,March,,,,5,,,10,,,,5,,,,,,60,,,,,,,10,,,10,,,
SN5-March,4,Stegastes nigricans,March,,,,,,25,,,,,,,,,,,15,,,,10,,,,,,25,,,
SN5-March,5,Stegastes nigricans,March,,,5,,,,5,,,,,,,,,,60,,,,,,,,,,30,,,
SN6-March,1,Stegastes nigricans,March,10,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,
SN6-March,2,Stegastes nigricans,March,,,,,,,,,,,,,,,,,75,,10,,5,,,,,,15,,,
SN6-March,3,Stegastes nigricans,March,,,,,,,,,10,,,,,,,,10,,,,45,,,,,,10,,,
SN6-March,4,Stegastes nigricans,March,5,,,,,,15,,,,,,,,,,,,40,,15,,,,,,20,,,
SN6-March,5,Stegastes nigricans,March,5,,,,,,,,,,,,,,,,,,75,,10,,,,,,10,,,
SN7-March,1,Stegastes nigricans,March,5,,,20,,,,,,,,,,,,,,,10,,10,,,10,,,5,,,
SN7-March,2,Stegastes nigricans,March,,,,,,,5,,,,,,,,,,20,,15,,,,,,,5,30,,,
SN7-March,3,Stegastes nigricans,March,5,,,,,,15,,,,,,,,,,10,,5,,,,,,,,15,,,
SN7-March,4,Stegastes nigricans,March,5,,,,,,,,,,,,,,,,15,,,,10,,,,,,15,,,
SN7-March,5,Stegastes nigricans,March,15,,,10,,,,,,,,,,,,,,,,,10,,,,,5,15,,,
SN8-March,1,Stegastes nigricans,March,,,,10,,,10,,,,,,,,,,,,10,,,,,,,20,10,,,
SN8-March,2,Stegastes nigricans,March,15,,,10,,,,,,,,,,,,,,,15,,,,,,,30,,,,
SN8-March,3,Stegastes nigricans,March,5,,,,,,,,,,,,,,,,10,,30,,,,,,,20,,,,
SN8-March,4,Stegastes nigricans,March,5,,,,,,,,,,,,,,,,20,,15,,,,,,,10,10,,,
SN8-March,5,Stegastes nigricans,March,5,,,,,,,,,,,,,5,,,,,40,,,,,,,10,10,,,
SN9-March,1,Stegastes nigricans,March,10,,,20,,,,,,,,,,,,,,,20,,10,,,,,,,,,
SN9-March,2,Stegastes nigricans,March,15,,,,,,15,,,,,,,,,,,,30,,,,,,,,,,,
SN9-March,3,Stegastes nigricans,March,15,,,,,,,,,,,,,,,,,,10,,,,,,,,30,,,
SN9-March,4,Stegastes nigricans,March,5,,,,,45,20,,,,,,,,,,,,20,,,,,,,,5,,,
SN9-March,5,Stegastes nigricans,March,5,,,,,,40,,,,,,,,,,,,,,,,,,,,40,,,
SN10-March,1,Stegastes nigricans,March,80,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,
SN10-March,2,Stegastes nigricans,March,50,,,15,,,,,,,,,,,,,,,15,,,,,,,,15,,,
SN10-March,3,Stegastes nigricans,March,5,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,
SN10-March,4,Stegastes nigricans,March,25,,,,,,,,,,,,,,,,,,30,,,,,,,,15,,,
SN10-March,5,Stegastes nigricans,March,5,,,15,,15,,,,,,,,,,,10,,20,,,,,,,,,,,
SN11-March,1,Stegastes nigricans,March,,,,,,,,,,,,,,,,,,,15,,,,,,,,30,,,
SN11-March,2,Stegastes nigricans,March,,,,15,,,,,,,,,,,,,,,10,,5,,,,,,15,,,
SN11-March,3,Stegastes nigricans,March,15,,,,,,,,,,,,,,,,,,60,,,,,,,,15,,,
SN11-March,4,Stegastes nigricans,March,15,,,,,,,,,,,,,,,,,,20,,,,,,,15,10,,,
SN11-March,5,Stegastes nigricans,March,,,,50,,,,,,,,,,,,,,,30,,,,,,,,15,,,
SN12-March,1,Stegastes nigricans,March,,,,,,,,,,,,,,,,,,,,,5,,,,,,60,,,
SN12-March,2,Stegastes nigricans,March,,,,,,,,,,,,,,,,,,,10,,10,,,,,,20,,,
SN12-March,3,Stegastes nigricans,March,10,,,,,,,,,,,,,,,,,,20,,,,,,,,10,,,
SN12-March,4,Stegastes nigricans,March,10,,,,,,,,,,,,,,,,,,20,,,,,,,,20,,,
SN12-March,5,Stegastes nigricans,March,,,,25,,,,,,,,,,,,,,,25,,15,,,,,,5,,,
SN1-Sep,1,Stegastes nigricans,September,,,,10,,,70,,,,,,,,,,,,10,,,,,,,,,,,
SN1-Sep,2,Stegastes nigricans,September,,,5,,,,20,,,,,,,,,,10,,15,,,,,,,,,,10,15
