Sample ID,Damselfish trt,Month trt,Lyngbya sp.,Schizothrix sp.,Boodlea sp.,Chaetomorpha sp.,Cladophora sp.,Derbesia marina,Derbesia sp.,Microdictyon umbilicatum,Ulva flexuosa,Ulothrix sp.,Uronema marinum,Sphacelaria novae-hollandineae,Sphacelaria rigidula,Hincksia mitchelliae,Anotrichium tenue,Antithamnion sp.,Caulacanthus ustularis,Centroceras minutum,Ceramium sp.,Ceramium codii,Chondria sp.,Coelothrix irregularis,Gayliella transversalis,Gelidiopsis intricata,Gelidiopsis scoparia,Gelidiella machrisiana,Gelidium isabelae,Gelidium samoense,Gelidium sp.,Griffithsia sp.,Herposiphonia delicatula,Herposiphonia pacifica,Hypnea spinella,Neosiphonia apiculata,Neosiphonia sphaerocarpa,Polysiphonia herpa,Polysiphonia scorpulum,Unidentified Polysiphonia,Jania sp.,Corallophila kleiwegii,Stylonema sp.,Unidentified cerameaceae 2,Unidentified cerameaceae 3
SN1-March,Stegastes nigricans,March,1,,,1,1,1,,,,1,,1,,1,,,,,,,,,,1,,1,,,,,,,,1,,1,1,,,,,,
SN2-March,Stegastes nigricans,March,1,,1,1,1,1,,,1,,,1,,,,,,,,,,,,1,,1,,,,,1,,,,,,1,,1,,,,
SN3-March,Stegastes nigricans,March,1,,,,1,,,,,,,1,,,,,,,,,,,,1,,1,,1,,,1,,,1,,1,1,,1,1,,,
SN4-March,Stegastes nigricans,March,1,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,1,,1,1,,,,,,
SN5-March,Stegastes nigricans,March,1,,,,1,,,,1,,,1,,,1,1,,,1,,1,,,1,,1,,1,,,1,,,1,,1,1,,1,,,,
SN6-March,Stegastes nigricans,March,1,,,,1,,,,,,1,1,,1,,,,,1,,1,,,1,,1,,1,,,1,,,,,1,1,,,,,,
SN7-March,Stegastes nigricans,March,1,1,,,1,,,,,,,1,,1,,,,,,,,,,1,,1,,,,,1,,,1,,1,1,,,,,,
SN8-March,Stegastes nigricans,March,1,,,,1,,,,1,,,1,,1,,,,,,1,,,,1,,1,,,,,1,,,1,,1,1,,,,,,
SN9-March,Stegastes nigricans,March,1,,,1,1,,,,1,,,1,,1,,,,,,,,,,1,,1,,,,,1,,,,,,1,,,,,,
SN10-March,Stegastes nigricans,March,1,,,,1,,,,1,,,1,,,1,,,,,,,,,1,,1,,,,,1,,,,,,1,,,,,1,
SN11-March,Stegastes nigricans,March,1,,,1,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,1,1,,,,,1,
SN12-March,Stegastes nigricans,March,1,,,,1,,,1,,,,1,,,,1,,,,,,,,1,,1,,,,,1,,,,,1,1,,,,,,
SN1-Sep,Stegastes nigricans,September,1,,,1,1,,,,,,,1,,,,1,,,,,1,,,1,,1,,,,,,,,,,1,1,,1,,,,1
SN2-Sep,Stegastes nigricans,September,1,,,,,,1,,1,,,1,,1,1,,,,,1,1,,,1,,1,1,,,,1,,,1,,,1,,1,,,,
SN3-Sep,Stegastes nigricans,September,1,,,1,1,,,,,,,1,,1,1,,,,,1,,,,,,1,1,,,,1,,,,,1,1,,,,,1,
SN4-Sep,Stegastes nigricans,September,1,,,,,,,,,,,1,,,,1,,,,,,,,1,,1,,,,,,,,,,1,1,,1,,,,1
SN5-Sep,Stegastes nigricans,September,1,,,,1,,,,,,,1,,1,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,
SN6-Sep,Stegastes nigricans,September,1,,,,,,,,,,,,,1,1,,,,,1,,,,1,,1,1,,,,1,,,,,1,1,,,,,,
